tconst,primary_title,original_title,start_year,runtime_minutes,averageRating,numVotes
tt0002089,Carmen,Carmen,1912,\N,NA,NA
tt0002739,Carmen,Carmen,1914,\N,NA,NA
tt0004688,The Thief,The Thief,1914,\N,NA,NA
tt0005060,Carmen,Carmen,1915,59,6.4,874
tt0005061,Carmen,Carmen,1915,\N,4.8,16
tt0006241,War and Peace,Voyna i mir,1915,\N,7.2,15
tt0006997,The Warrior,Maciste alpino,1916,95,6.2,50
tt0008305,Les Misérables,Les Misérables,1917,100,5.7,19
tt0008950,Carmen,Carmen,1918,70,6,259
tt0009382,Missing,Missing,1918,50,NA,NA
tt0009429,No Man's Land,No Man's Land,1918,\N,NA,NA
tt0011044,Carmen,Carmen,1921,\N,NA,NA
tt0012092,Danton,Danton,1921,60,6.6,32
tt0012173,First Love,First Love,1921,\N,NA,NA
tt0012377,The Last Chance,The Last Chance,1921,50,NA,NA
tt0012538,Outside the Law,Outside the Law,1920,75,6.6,454
tt0013023,Confidence,Confidence,1922,\N,NA,NA
tt0015421,Torment,Torment,1924,60,NA,NA
tt0016112,Les Misérables,Les misérables,1925,359,6.9,51
tt0016248,The Promised Land,The Promised Land,1925,\N,NA,NA
tt0016709,Carmen,Carmen,1926,110,6.9,80
tt0018198,The Nest,The Nest,1927,80,NA,NA
tt0018512,Turkish Delight,Turkish Delight,1927,60,6,9
tt0019509,Underground,Underground,1928,84,7.3,400
tt0020454,Stolen Kisses,Stolen Kisses,1929,70,NA,NA
tt0021224,Outside the Law,Outside the Law,1930,79,6.2,95
tt0021784,Danton,Danton,1931,92,6.9,27
tt0022747,Carmen,Carmen,1932,\N,6,7
tt0023359,Life Is Beautiful,Prostoy sluchay,1930,96,7.3,64
tt0025509,Les Misérables,Les misérables,1934,281,8.2,1453
tt0026274,Devdas,Devdas,1936,139,6.3,77
tt0026674,Man of Iron,Man of Iron,1935,61,5.7,94
tt0026725,Les Misérables,Les Misérables,1935,108,7.6,3186
tt0028343,Tango,Tango,1936,66,5.7,32
tt0031311,First Love,First Love,1939,84,6.9,571
tt0031974,The Star Maker,The Star Maker,1939,94,5.9,56
tt0032237,The Child,Barnet,1940,85,NA,NA
tt0074972,Black and White in Color,La victoire en chantant,1976,90,6.9,1330
tt0075040,Seven Beauties,Pasqualino Settebellezze,1975,116,7.8,4687
tt0075314,Taxi Driver,Taxi Driver,1976,114,8.3,676457
tt0075367,Underground,Underground,1976,87,6.9,126
tt0075824,That Obscure Object of Desire,Cet obscur objet du désir,1977,103,7.9,19119
tt0075838,The Child,The Child,1977,82,4.8,864
